Ministère des Finances,,https://www.mf.gov.dz,grey_none_verified,National government ministry,false,pending,Algeria,DEPT,https://www.mf.gov.dz
Ministère des Affaires Étrangères,,https://www.mae.gov.dz,grey_none_verified,National government ministry,false,pending,Algeria,DEPT,https://www.mae.gov.dz
Ministère de la Défense Nationale,,https://www.mdn.dz,grey_none_verified,National government ministry,false,pending,Algeria,DEPT,https://www.mdn.dz
Ministère de l'Intérieur des Collectivités Locales et de l'Aménagement du Territoire,,https://interieur.gov.dz,grey_none_verified,National government ministry,false,pending,Algeria,DEPT,https://interieur.gov.dz
Ministère de la Justice,,https://www.mjustice.dz,grey_none_verified,National government ministry,false,pending,Algeria,DEPT,https://www.mjustice.dz
Ministère de la Santé,,https://www.sante.gov.dz,grey_none_verified,National government ministry,false,pending,Algeria,DEPT,https://www.sante.gov.dz
Ministère de l'Éducation Nationale,,https://www.education.gov.dz,grey_none_verified,National government ministry,false,pending,Algeria,DEPT,https://www.education.gov.dz
Ministère de l'Enseignement Supérieur et de la Recherche Scientifique,,https://www.mesrs.dz,grey_none_verified,National government ministry,false,pending,Algeria,DEPT,https://www.mesrs.dz
Ministère de l'Agriculture et du Développement Rural,,https://www.madr.gov.dz,grey_none_verified,National government ministry,false,pending,Algeria,DEPT,https://www.madr.gov.dz
Ministère du Commerce et de la Promotion des Exportations,,https://www.commerce.gov.dz,grey_none_verified,National government ministry,false,pending,Algeria,DEPT,https://www.commerce.gov.dz
Ministère de l'Énergie et des Mines,,https://www.energie.gov.dz,grey_none_verified,National government ministry,false,pending,Algeria,DEPT,https://www.energie.gov.dz
Ministère des Travaux Publics et des Infrastructures,,https://www.mtp.gov.dz,grey_none_verified,National government ministry,false,pending,Algeria,DEPT,https://www.mtp.gov.dz
Ministère des Transports,,https://www.transports.gov.dz,grey_none_verified,National government ministry,false,pending,Algeria,DEPT,https://www.transports.gov.dz
Ministère de la Poste et des Télécommunications,,https://www.mpt.gov.dz,grey_none_verified,National government ministry,false,pending,Algeria,DEPT,https://www.mpt.gov.dz
Ministère du Travail de l'Emploi et de la Sécurité Sociale,,https://www.mtess.gov.dz,grey_none_verified,National government ministry,false,pending,Algeria,DEPT,https://www.mtess.gov.dz
