"Ministério da Justiça, Presidência do Conselho de Ministros, Assuntos Parlamentares e Comunicação Social",,https://www.gov.cv/oportunidade-de-emprego,green_verified,National justice and government coordination ministry,true,pending,Cabo Verde,DEPT,https://www.governo.cv/governo/ministerios/ministro-da-justica-presidencia-do-conselho-de-ministros-assuntos-parlamentares-e-comunicacao-social/
Ministério da Administração Interna,,https://www.gov.cv/oportunidade-de-emprego,green_verified,National ministry overseeing internal administration,true,pending,Cabo Verde,DEPT,https://www.governo.cv/governo/ministerios/ministro-da-administracao-interna/
"Ministério dos Negócios Estrangeiros, Comunidades e Defesa Nacional",,https://www.gov.cv/oportunidade-de-emprego,green_verified,Foreign affairs and national defense ministry,true,pending,Cabo Verde,DEPT,https://www.governo.cv/governo/ministerios/ministro-dos-negocios-estrangeiros-comunidades-e-defesa-nacional/
"Ministério das Infraestruturas, Habitação e Ordenamento do Território",,https://www.gov.cv/oportunidade-de-emprego,green_verified,Infrastructure and housing government ministry,true,pending,Cabo Verde,DEPT,https://www.governo.cv/governo/ministerios/ministro-das-infraestruturas-habitacao-e-ordenamento-do-territorio/
Ministério dos Transportes e Mar,,https://www.gov.cv/oportunidade-de-emprego,green_verified,Transport and maritime affairs ministry,true,pending,Cabo Verde,DEPT,https://www.governo.cv/governo/ministerios/ministro-dos-transportes-e-mar/
"Ministério da Família, Inclusão, Desenvolvimento Social e Trabalho",,https://www.gov.cv/oportunidade-de-emprego,green_verified,Social development and labor ministry,true,pending,Cabo Verde,DEPT,https://www.governo.cv/governo/ministerios/ministra-da-familia-inclusao-desenvolvimento-social-e-trabalho/
"Ministério da Economia, Comércio, Indústria e Transição Digital",,https://www.gov.cv/oportunidade-de-emprego,green_verified,Economy trade and digital transition ministry,true,pending,Cabo Verde,DEPT,https://www.governo.cv/governo/ministerios/ministro-da-economia-comercio-industria-e-transicao-digital/
Ministério da Saúde,,https://www.gov.cv/oportunidade-de-emprego,green_verified,National health ministry,true,pending,Cabo Verde,DEPT,https://www.governo.cv/governo/ministerios/ministro-da-saude/
"Ministério da Educação, Formação Profissional, Ensino Superior, Ciência e Inovação",,https://www.gov.cv/oportunidade-de-emprego,green_verified,Education and higher education ministry,true,pending,Cabo Verde,DEPT,https://www.governo.cv/governo/ministerios/ministro-da-educacao-formacao-profissional-ensino-superior-ciencia-e-inovacao/
"Ministério da Agricultura, Desenvolvimento Rural e Pescas",,https://www.gov.cv/oportunidade-de-emprego,green_verified,Agriculture rural development and fisheries ministry,true,pending,Cabo Verde,DEPT,https://www.governo.cv/governo/ministerios/ministra-da-agricultura-desenvolvimento-rural-e-pescas/
"Ministério da Cultura, Indústrias Criativas, Juventude e Desporto",,https://www.gov.cv/oportunidade-de-emprego,green_verified,Culture youth and sports ministry,true,pending,Cabo Verde,DEPT,https://www.governo.cv/governo/ministerios/ministro-da-cultura-industrias-criativas-juventude-e-desporto/
"Ministério da Reforma do Estado, Poder Local e Descentralização",,https://www.gov.cv/oportunidade-de-emprego,green_verified,State reform and local government ministry,true,pending,Cabo Verde,DEPT,https://www.governo.cv/governo/ministerios/ministro-da-reforma-do-estado-poder-local-e-descentralizacao/
"Ministério do Ambiente, Ação Climática e Energia",,https://www.gov.cv/oportunidade-de-emprego,green_verified,Environment and climate action ministry,true,pending,Cabo Verde,DEPT,https://www.governo.cv/governo/ministerios/ministro-do-ambiente-acao-climatica-e-energia/
Ministério da Coordenação de Projetos Especiais e Acesso a Fundos,,https://www.gov.cv/oportunidade-de-emprego,green_verified,Special projects and funds coordination ministry,true,pending,Cabo Verde,DEPT,https://www.governo.cv/governo/ministerios/ministro-da-coordenacao-de-projetos-especiais-e-acesso-a-fundos/
World Health Organization Cabo Verde,,https://www.who.int/careers,green_verified,UN health agency country office,true,pending,Cabo Verde,NGO,https://www.afro.who.int/countries/cabo-verde
UNDP Cabo Verde,,https://www.undp.org/jobs,green_verified,UN development agency with local programs,true,pending,Cabo Verde,NGO,https://caboverde.un.org/
UNICEF Cabo Verde,,https://www.unicef.org/careers,green_verified,UN children's agency active in country,true,pending,Cabo Verde,NGO,https://caboverde.un.org/
UNFPA Cabo Verde,,https://www.unfpa.org/jobs,green_verified,UN population fund active in country,true,pending,Cabo Verde,NGO,https://caboverde.un.org/
FAO Cabo Verde,,https://www.fao.org/employment/en/,green_verified,UN food and agriculture agency in country,true,pending,Cabo Verde,NGO,https://caboverde.un.org/
Banco Comercial do Atlântico (BCA),,https://www.bca.cv/recrutamento,green_verified,Largest commercial bank in Cabo Verde,true,pending,Cabo Verde,PRIVATE,https://www.bca.cv
Caixa Económica de Cabo Verde,,https://www.caixa.cv/human-resource,amber_company_route,State-linked savings bank human resources page,false,no_url,Cabo Verde,PRIVATE,https://www.caixa.cv
Ecobank Cabo Verde,,https://ecobank.com/group/careers,green_verified,Pan-African bank operating in Cabo Verde,true,pending,Cabo Verde,PRIVATE,https://ecobank.com/cv
BAI Cabo Verde,,https://www.bancobai.cv/recrutamento,green_verified,Angolan-owned bank recruitment contact page,true,pending,Cabo Verde,PRIVATE,https://www.bancobai.cv
CVTelecom,,http://www.cvtelecom.cv/,grey_none_verified,National telecommunications operator,false,no_url,Cabo Verde,PRIVATE,http://www.cvtelecom.cv/
CVMovel,,http://www.cvmovel.cv/recrutamento,amber_company_route,Mobile telecom operator recruitment page,false,no_url,Cabo Verde,PRIVATE,http://www.cvmovel.cv
Cabo Verde Airlines,,https://caboverdeairlines.com/en/?id=52&view=category,green_verified,National flag carrier airline recruitment page,true,pending,Cabo Verde,PRIVATE,https://caboverdeairlines.com
Meliá Hotels Cabo Verde,,https://www.melia.com,grey_none_verified,International hotel chain with Sal resort,false,no_url,Cabo Verde,PRIVATE,https://www.melia.com
Electra,,https://www.electra.cv/,grey_none_verified,State electricity and water utility company,false,no_url,Cabo Verde,SOE,https://www.electra.cv/
Enapor - Portos de Cabo Verde,,https://www.enapor.cv/en_US/page/candidaturas,amber_company_route,State-owned ports authority applications page,false,no_url,Cabo Verde,SOE,https://www.enapor.cv
ASA - Aeroportos e Segurança Aérea,,https://www.asa.cv/en/oportunidades-de-emprego,amber_company_route,State airport authority job opportunities page,false,no_url,Cabo Verde,SOE,https://www.asa.cv
