Ministry of Finance,,https://www.mofed.gov.et,grey_none_verified,National government ministry,false,pending,Ethiopia,DEPT,https://www.mofed.gov.et
Ministry of Foreign Affairs,,https://mfa.gov.et,grey_none_verified,National government ministry,false,pending,Ethiopia,DEPT,https://mfa.gov.et
Ministry of Defense,,https://mod.gov.et,grey_none_verified,National government ministry,false,pending,Ethiopia,DEPT,https://mod.gov.et
Ministry of Justice,,https://moj.gov.et,grey_none_verified,National government ministry,false,pending,Ethiopia,DEPT,https://moj.gov.et
Ministry of Revenue,,https://mor.gov.et,grey_none_verified,National tax/revenue ministry,false,pending,Ethiopia,DEPT,https://mor.gov.et
Ministry of Trade and Regional Integration,,https://mti.gov.et,grey_none_verified,National government ministry,false,pending,Ethiopia,DEPT,https://mti.gov.et
Ministry of Industry,,https://moit.gov.et,grey_none_verified,National government ministry,false,pending,Ethiopia,DEPT,https://moit.gov.et
Ministry of Agriculture,,https://www.moa.gov.et,grey_none_verified,National government ministry,false,pending,Ethiopia,DEPT,https://www.moa.gov.et
Ministry of Water and Energy,,https://www.mowe.gov.et,grey_none_verified,National government ministry,false,pending,Ethiopia,DEPT,https://www.mowe.gov.et
Ministry of Mines,,https://mom.gov.et,grey_none_verified,National government ministry,false,pending,Ethiopia,DEPT,https://mom.gov.et
Ministry of Transport and Logistics,,https://mot.gov.et,grey_none_verified,National government ministry,false,pending,Ethiopia,DEPT,https://mot.gov.et
Ministry of Innovation and Technology,,https://mint.gov.et,grey_none_verified,National government ministry,false,pending,Ethiopia,DEPT,https://mint.gov.et
Ministry of Education,,https://www.moe.gov.et,grey_none_verified,National government ministry,false,pending,Ethiopia,DEPT,https://www.moe.gov.et
Ministry of Health,,https://www.moh.gov.et,grey_none_verified,National government ministry,false,pending,Ethiopia,DEPT,https://www.moh.gov.et
Ministry of Labor and Skills,,https://mols.gov.et,grey_none_verified,National government ministry,false,pending,Ethiopia,DEPT,https://mols.gov.et
Ministry of Women and Social Affairs,,https://mowsa.gov.et,grey_none_verified,National government ministry,false,pending,Ethiopia,DEPT,https://mowsa.gov.et
Ministry of Urban and Infrastructure,,https://moui.gov.et,grey_none_verified,National government ministry,false,pending,Ethiopia,DEPT,https://moui.gov.et
Ministry of Tourism,,https://mot.gov.et,grey_none_verified,National government ministry,false,pending,Ethiopia,DEPT,https://mot.gov.et
Ministry of Peace,,https://mopeace.gov.et,grey_none_verified,National government ministry,false,pending,Ethiopia,DEPT,https://mopeace.gov.et
Ministry of Planning and Development,,https://mopd.gov.et,grey_none_verified,National government ministry,false,pending,Ethiopia,DEPT,https://mopd.gov.et
Addis Ababa City Administration,,https://addisababa.gov.et,grey_none_verified,City government,false,pending,Ethiopia,MUNI,https://addisababa.gov.et
Oromia Regional State Government,,https://oromia.gov.et,grey_none_verified,Regional state government,false,pending,Ethiopia,MUNI,https://oromia.gov.et
Amhara Regional State Government,,https://amhara.gov.et,grey_none_verified,Regional state government,false,pending,Ethiopia,MUNI,https://amhara.gov.et
Tigray Regional State Government,,,grey_none_verified,Regional state government,false,pending,Ethiopia,MUNI,
Sidama Regional State Government,,,grey_none_verified,Regional state government,false,pending,Ethiopia,MUNI,
Ethiopian Airlines Group,,https://corporate.ethiopianairlines.com/AboutEthiopian/careers/vacancies,green_verified,"National carrier (wholly state-owned); search result confirms a live vacancies page",true,pending,Ethiopia,SOE,https://corporate.ethiopianairlines.com
Ethio Telecom,,https://www.ethiotelecom.et/career/,amber_company_route,State-owned telecom operator (partially privatized 2021),true,pending,Ethiopia,SOE,https://www.ethiotelecom.et
Commercial Bank of Ethiopia,,https://www.combanketh.et/en/careers,amber_company_route,State-owned commercial bank (largest in Ethiopia),true,pending,Ethiopia,SOE,https://www.combanketh.et
National Bank of Ethiopia,,https://nbe.gov.et/careers,grey_none_verified,National central bank,false,pending,Ethiopia,SOE,https://nbe.gov.et
