Ministry of Finance and Economic Affairs,,https://mofea.gov.gm/,grey_none_verified,National government ministry,false,no_url,Gambia,DEPT,https://mofea.gov.gm/
"Ministry of Foreign Affairs, International Cooperation and Gambians Abroad",,https://mofa.gov.gm/,grey_none_verified,National government ministry,false,no_url,Gambia,DEPT,https://mofa.gov.gm/
Attorney General's Chambers and Ministry of Justice,,https://moj.gov.gm/vcancies/,green_verified,National government ministry,true,pending,Gambia,DEPT,https://moj.gov.gm/
Ministry of Defence,,https://mod.gov.gm/,grey_none_verified,National government ministry,false,no_url,Gambia,DEPT,https://mod.gov.gm/
Ministry of Interior,,https://moi.gov.gm/,grey_none_verified,National government ministry,false,no_url,Gambia,DEPT,https://moi.gov.gm/
Ministry of Lands and Regional Government,,https://gambia.gov.gm/ministry-of-lands-and-regional-government/,grey_none_verified,National government ministry,false,no_url,Gambia,DEPT,https://gambia.gov.gm/ministry-of-lands-and-regional-government/
Ministry of Basic and Secondary Education,,https://mobse.gov.gm/,grey_none_verified,National government ministry,false,no_url,Gambia,DEPT,https://mobse.gov.gm/
Ministry of Transport Works and Infrastructure,,https://motwi.gov.gm/,grey_none_verified,National government ministry,false,no_url,Gambia,DEPT,https://motwi.gov.gm/
Ministry of Public Service,,https://mops.gov.gm/,grey_none_verified,National government ministry,false,no_url,Gambia,DEPT,https://mops.gov.gm/
Ministry of Agriculture,,https://moa.gov.gm/,grey_none_verified,National government ministry,false,no_url,Gambia,DEPT,https://moa.gov.gm/
Ministry of Health,,https://moh.gov.gm/,grey_none_verified,National government ministry,false,no_url,Gambia,DEPT,https://moh.gov.gm/
Ministry of Tourism and Culture,,https://motc.gov.gm/,grey_none_verified,National government ministry,false,no_url,Gambia,DEPT,https://motc.gov.gm/
Ministry of Youth and Sports,,https://moys.gov.gm/,grey_none_verified,National government ministry,false,no_url,Gambia,DEPT,https://moys.gov.gm/
"Ministry of Petroleum, Energy and Mines",,https://mopem.gov.gm/,grey_none_verified,National government ministry,false,no_url,Gambia,DEPT,https://mopem.gov.gm/
"Ministry of Environment, Climate Change and Natural Resources",,https://meccnar.gov.gm/,grey_none_verified,National government ministry,false,no_url,Gambia,DEPT,https://meccnar.gov.gm/
Ministry of Fisheries and Water Resources,,https://gambia.gov.gm/ministry-of-fisheries-and-water-resources/,grey_none_verified,National government ministry,false,no_url,Gambia,DEPT,https://gambia.gov.gm/ministry-of-fisheries-and-water-resources/
"Ministry of Gender, Children and Social Welfare",,https://mogcsw.gov.gm/,grey_none_verified,National government ministry,false,no_url,Gambia,DEPT,https://mogcsw.gov.gm/
"Ministry of Trade, Industry, Regional Integration and Employment",,https://motie.gov.gm/,grey_none_verified,National government ministry,false,no_url,Gambia,DEPT,https://motie.gov.gm/
"Ministry of Higher Education, Research, Science and Technology",,https://gambia.gov.gm/ministry-of-higher-education-research-science-and-technology/,grey_none_verified,National government ministry,false,no_url,Gambia,DEPT,https://gambia.gov.gm/ministry-of-higher-education-research-science-and-technology/
Ministry of Communications and Digital Economy,,https://mocde.gov.gm/,grey_none_verified,National government ministry,false,no_url,Gambia,DEPT,https://mocde.gov.gm/
Ministry of Information,,https://moin.gov.gm/,grey_none_verified,National government ministry,false,no_url,Gambia,DEPT,https://moin.gov.gm/
World Food Programme Gambia,,https://www.wfp.org/careers,amber_company_route,UN World Food Programme country office,true,pending,Gambia,NGO,https://www.wfp.org/countries/gambia
World Health Organization Gambia,,https://www.who.int/careers,amber_company_route,UN World Health Organization country office,true,pending,Gambia,NGO,https://www.afro.who.int/countries/gambia
UNDP Gambia,,https://www.undp.org/gambia/jobs,green_verified,UN Development Programme country office,true,pending,Gambia,NGO,https://www.undp.org/gambia
Catholic Relief Services Gambia,,https://www.crs.org/about-us/careers,amber_company_route,International Catholic relief NGO office,true,pending,Gambia,NGO,https://www.crs.org/our-work-overseas/where-we-work/gambia
UNICEF Gambia,,https://www.unicef.org/careers,amber_company_route,UN Children's Fund country office,true,pending,Gambia,NGO,https://www.unicef.org/gambia/
Access Bank Gambia,,https://careers.accessbankplc.com/,amber_company_route,Major commercial bank,true,pending,Gambia,PRIVATE,https://gambia.accessbankplc.com/
Ecobank Gambia,,https://www.ecobank.com/gm,grey_none_verified,Major commercial bank,false,no_url,Gambia,PRIVATE,https://www.ecobank.com/gm
Zenith Bank Gambia,,https://zenithbank.gm/,grey_none_verified,Commercial bank,false,no_url,Gambia,PRIVATE,https://zenithbank.gm/
FBNBank Gambia,,https://www.fbnbankgambia.com/,grey_none_verified,Commercial bank,false,no_url,Gambia,PRIVATE,https://www.fbnbankgambia.com/
Africell Gambia,,https://www.africell.gm/careers/,green_verified,Major mobile telecom operator,true,pending,Gambia,PRIVATE,https://www.africell.gm/
Qcell Ltd,,https://apply.qcell.gm/,green_verified,Mobile telecom operator,true,pending,Gambia,PRIVATE,https://qcell.gm/
Capital Express Assurance Gambia,,https://capitalexpressassurancegm.com/,grey_none_verified,Insurance company,false,no_url,Gambia,PRIVATE,https://capitalexpressassurancegm.com/
Gambia International Airlines,,https://gia.gm/,grey_none_verified,National carrier airline,false,no_url,Gambia,PRIVATE,https://gia.gm/
GamSwitch Company Ltd,,https://www.gamswitch.com/,grey_none_verified,National payment switch operator,false,no_url,Gambia,PRIVATE,https://www.gamswitch.com/
National Water and Electricity Company (NAWEC),,https://nawec.gm/career-opportunities/,green_verified,State-owned water and electricity utility,true,pending,Gambia,SOE,https://nawec.gm/
Gambia Ports Authority,,https://gambiaports.gm/,grey_none_verified,State-owned ports authority,false,no_url,Gambia,SOE,https://gambiaports.gm/
Gambia Telecommunications Company (GAMTEL),,https://gamtel.gm/,grey_none_verified,State-owned telecom company,false,no_url,Gambia,SOE,https://gamtel.gm/
