Reliance Industries,,https://www.ril.com/careers,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,India,NSE,https://www.ril.com
Tata Consultancy Services,,https://www.tcs.com/careers,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,India,NSE,https://www.tcs.com
Infosys,,https://www.infosys.com/careers,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,India,NSE,https://www.infosys.com
HDFC Bank,,https://www.hdfcbank.com/personal/about-us/careers,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,India,NSE,https://www.hdfcbank.com
ICICI Bank,,https://www.icicicareers.com,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,India,NSE,https://www.icicibank.com
State Bank of India,,https://sbi.co.in/web/careers,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,India,SOE,https://sbi.co.in
Indian Railways,,https://www.ncs.gov.in,pending verification,BRICS partner: no entity-specific vacancy page confirmed; national recruitment portal used instead (not yet live-verified),true,pending,India,SOE,https://indianrailways.gov.in
Oil and Natural Gas Corporation (ONGC),,https://ongcindia.com/web/eng/careers,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,India,SOE,https://ongcindia.com
NTPC,,https://www.ntpc.co.in/careers,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,India,SOE,https://www.ntpc.co.in
Life Insurance Corporation of India,,https://licindia.in/Bottom-Links/careers,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,India,SOE,https://licindia.in
Union Public Service Commission (UPSC),,https://www.upsc.gov.in,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,India,DEPT,https://www.upsc.gov.in
Staff Selection Commission (SSC),,https://ssc.gov.in,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,India,DEPT,https://ssc.gov.in
