Federal Ministry of Finance,,https://www.finance.gov.ng,grey_none_verified,National government ministry,false,pending,Nigeria,DEPT,https://www.finance.gov.ng
Federal Ministry of Foreign Affairs,,https://www.foreignaffairs.gov.ng,grey_none_verified,National government ministry,false,pending,Nigeria,DEPT,https://www.foreignaffairs.gov.ng
Federal Ministry of Defence,,https://www.defence.gov.ng,grey_none_verified,National government ministry,false,pending,Nigeria,DEPT,https://www.defence.gov.ng
Federal Ministry of Interior,,https://www.interior.gov.ng,grey_none_verified,National government ministry,false,pending,Nigeria,DEPT,https://www.interior.gov.ng
Federal Ministry of Justice,,https://www.justice.gov.ng,grey_none_verified,National government ministry,false,pending,Nigeria,DEPT,https://www.justice.gov.ng
Federal Ministry of Education,,https://education.gov.ng,grey_none_verified,National government ministry,false,pending,Nigeria,DEPT,https://education.gov.ng
Federal Ministry of Health and Social Welfare,,https://health.gov.ng,grey_none_verified,National government ministry,false,pending,Nigeria,DEPT,https://health.gov.ng
Federal Ministry of Agriculture and Food Security,,https://fmard.gov.ng,grey_none_verified,National government ministry,false,pending,Nigeria,DEPT,https://fmard.gov.ng
Federal Ministry of Works,,https://worksandhousing.gov.ng,grey_none_verified,National government ministry,false,pending,Nigeria,DEPT,https://worksandhousing.gov.ng
Federal Ministry of Power,,https://power.gov.ng,grey_none_verified,National government ministry,false,pending,Nigeria,DEPT,https://power.gov.ng
Federal Ministry of Petroleum Resources,,https://petroleumresources.gov.ng,grey_none_verified,National government ministry,false,pending,Nigeria,DEPT,https://petroleumresources.gov.ng
Federal Ministry of Transportation,,https://transportation.gov.ng,grey_none_verified,National government ministry,false,pending,Nigeria,DEPT,https://transportation.gov.ng
Federal Ministry of Aviation and Aerospace Development,,https://aviation.gov.ng,grey_none_verified,National government ministry,false,pending,Nigeria,DEPT,https://aviation.gov.ng
Federal Ministry of Communications Innovation and Digital Economy,,https://fmcide.gov.ng,grey_none_verified,National government ministry,false,pending,Nigeria,DEPT,https://fmcide.gov.ng
Federal Ministry of Industry Trade and Investment,,https://fmiti.gov.ng,grey_none_verified,National government ministry,false,pending,Nigeria,DEPT,https://fmiti.gov.ng
Federal Ministry of Labour and Employment,,https://labour.gov.ng,grey_none_verified,National government ministry,false,pending,Nigeria,DEPT,https://labour.gov.ng
Federal Ministry of Women Affairs,,https://womenaffairs.gov.ng,grey_none_verified,National government ministry,false,pending,Nigeria,DEPT,https://womenaffairs.gov.ng
Federal Ministry of Youth Development,,https://youth.gov.ng,grey_none_verified,National government ministry,false,pending,Nigeria,DEPT,https://youth.gov.ng
Federal Ministry of Environment,,https://environment.gov.ng,grey_none_verified,National government ministry,false,pending,Nigeria,DEPT,https://environment.gov.ng
Federal Ministry of Water Resources and Sanitation,,https://waterresources.gov.ng,grey_none_verified,National government ministry,false,pending,Nigeria,DEPT,https://waterresources.gov.ng
Federal Ministry of Information and National Orientation,,https://fmino.gov.ng,grey_none_verified,National government ministry,false,pending,Nigeria,DEPT,https://fmino.gov.ng
Federal Ministry of Humanitarian Affairs and Poverty Reduction,,https://humanitarianaffairs.gov.ng,grey_none_verified,National government ministry,false,pending,Nigeria,DEPT,https://humanitarianaffairs.gov.ng
