Gazprom,,https://careers.gazprom.ru,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,Russia,MOEX,https://www.gazprom.com
Sberbank,,https://www.sberbank.ru/ru/career,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,Russia,MOEX,https://www.sberbank.ru
Lukoil,,https://lukoil.com/Careers,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,Russia,MOEX,https://lukoil.com
Rosneft,,https://www.rosneft.com,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Russia,MOEX,https://www.rosneft.com
Yandex,,https://yandex.com/jobs,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,Russia,MOEX,https://yandex.com
Russian Railways (RZD),,https://www.rzd.ru/ru/9450,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,Russia,SOE,https://www.rzd.ru
Rosatom,,https://rosatom-careers.com,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,Russia,SOE,https://rosatom.ru
Russian Post,,https://www.pochta.ru/career,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,Russia,SOE,https://www.pochta.ru
VTB Bank,,https://www.vtb.ru/o-banke/karera,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,Russia,SOE,https://www.vtb.ru
Rostec,,https://rostec.ru,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Russia,SOE,https://rostec.ru
Ministry of Finance of the Russian Federation,,https://gossluzhba.gov.ru,pending verification,BRICS partner: no entity-specific vacancy page confirmed; national recruitment portal used instead (not yet live-verified),true,pending,Russia,DEPT,https://minfin.gov.ru
Ministry of Health of the Russian Federation,,https://gossluzhba.gov.ru,pending verification,BRICS partner: no entity-specific vacancy page confirmed; national recruitment portal used instead (not yet live-verified),true,pending,Russia,DEPT,https://minzdrav.gov.ru
Ministry of Education (Minprosveshcheniya),,https://gossluzhba.gov.ru,pending verification,BRICS partner: no entity-specific vacancy page confirmed; national recruitment portal used instead (not yet live-verified),true,pending,Russia,DEPT,https://edu.gov.ru
Ministry of Science and Higher Education,,https://gossluzhba.gov.ru,pending verification,BRICS partner: no entity-specific vacancy page confirmed; national recruitment portal used instead (not yet live-verified),true,pending,Russia,DEPT,https://minobrnauki.gov.ru
Federal Tax Service,,https://gossluzhba.gov.ru,pending verification,BRICS partner: no entity-specific vacancy page confirmed; national recruitment portal used instead (not yet live-verified),true,pending,Russia,DEPT,https://www.nalog.gov.ru
Moscow City Government,,https://trudvsem.ru,pending verification,BRICS partner: no entity-specific vacancy page confirmed; national recruitment portal used instead (not yet live-verified),true,pending,Russia,MUNI,https://www.mos.ru
Saint Petersburg Administration,,https://trudvsem.ru,pending verification,BRICS partner: no entity-specific vacancy page confirmed; national recruitment portal used instead (not yet live-verified),true,pending,Russia,MUNI,https://www.gov.spb.ru
Kazan City Administration,,https://trudvsem.ru,pending verification,BRICS partner: no entity-specific vacancy page confirmed; national recruitment portal used instead (not yet live-verified),true,pending,Russia,MUNI,https://kzn.ru
Novosibirsk Mayor's Office,,https://trudvsem.ru,pending verification,BRICS partner: no entity-specific vacancy page confirmed; national recruitment portal used instead (not yet live-verified),true,pending,Russia,MUNI,https://novo-sibirsk.ru
