Ministry of Public Service and Labour (MIFOTRA) — national e-recruitment portal,,https://recruitment.mifotra.gov.rw/,green_verified,"Whole-of-civil-service recruitment portal for Rwanda; search result confirms a live e-recruitment system",true,pending,Rwanda,DEPT,https://recruitment.mifotra.gov.rw
Ministry of Finance and Economic Planning,,https://www.minecofin.gov.rw,grey_none_verified,National government ministry,false,pending,Rwanda,DEPT,https://www.minecofin.gov.rw
Ministry of Foreign Affairs and Cooperation,,https://www.minaffet.gov.rw,grey_none_verified,National government ministry,false,pending,Rwanda,DEPT,https://www.minaffet.gov.rw
Ministry of Defence,,https://www.mod.gov.rw,grey_none_verified,National government ministry,false,pending,Rwanda,DEPT,https://www.mod.gov.rw
Ministry of Internal Security,,https://www.minisec.gov.rw,grey_none_verified,National government ministry,false,pending,Rwanda,DEPT,https://www.minisec.gov.rw
Ministry of Justice,,https://www.minijust.gov.rw,grey_none_verified,National government ministry,false,pending,Rwanda,DEPT,https://www.minijust.gov.rw
Ministry of Health,,https://www.moh.gov.rw,grey_none_verified,National government ministry,false,pending,Rwanda,DEPT,https://www.moh.gov.rw
Ministry of Education,,https://www.mineduc.gov.rw,grey_none_verified,National government ministry,false,pending,Rwanda,DEPT,https://www.mineduc.gov.rw
Ministry of Agriculture and Animal Resources,,https://www.minagri.gov.rw,grey_none_verified,National government ministry,false,pending,Rwanda,DEPT,https://www.minagri.gov.rw
Ministry of Trade and Industry,,https://www.minicom.gov.rw,grey_none_verified,National government ministry,false,pending,Rwanda,DEPT,https://www.minicom.gov.rw
Ministry of Environment,,https://www.environment.gov.rw,grey_none_verified,National government ministry,false,pending,Rwanda,DEPT,https://www.environment.gov.rw
Ministry of Infrastructure,,https://www.mininfra.gov.rw,grey_none_verified,National government ministry,false,pending,Rwanda,DEPT,https://www.mininfra.gov.rw
Ministry of ICT and Innovation,,https://www.minict.gov.rw,grey_none_verified,National government ministry,false,pending,Rwanda,DEPT,https://www.minict.gov.rw
Ministry of Local Government,,https://www.minaloc.gov.rw,grey_none_verified,National government ministry,false,pending,Rwanda,DEPT,https://www.minaloc.gov.rw
Ministry of Gender and Family Promotion,,https://www.migeprof.gov.rw,grey_none_verified,National government ministry,false,pending,Rwanda,DEPT,https://www.migeprof.gov.rw
Ministry of Youth and Culture,,,grey_none_verified,National government ministry,false,pending,Rwanda,DEPT,
Ministry of Sports,,,grey_none_verified,National government ministry,false,pending,Rwanda,DEPT,
City of Kigali,,https://www.kigalicity.gov.rw,grey_none_verified,City government,false,pending,Rwanda,MUNI,https://www.kigalicity.gov.rw
Northern Province,,,grey_none_verified,Provincial government,false,pending,Rwanda,MUNI,
Southern Province,,,grey_none_verified,Provincial government,false,pending,Rwanda,MUNI,
Eastern Province,,,grey_none_verified,Provincial government,false,pending,Rwanda,MUNI,
Western Province,,,grey_none_verified,Provincial government,false,pending,Rwanda,MUNI,
Rwanda Revenue Authority,,https://www.rra.gov.rw/en/about-us/job-vacancy,green_verified,"National tax authority; search result confirms a live job-vacancy page",true,pending,Rwanda,SOE,https://www.rra.gov.rw
RwandAir,,https://erecruitment.rwandair.com/,green_verified,"National carrier (state-owned); search result confirms a dedicated e-recruitment portal",true,pending,Rwanda,SOE,https://erecruitment.rwandair.com
Rwanda Airport Company Ltd,,https://rac.co.rw/notice/careers,green_verified,"State airport operator; search result confirms a live careers page",true,pending,Rwanda,SOE,https://rac.co.rw
Civil Aviation Authority (Rwanda),,https://www.caa.gov.rw/careers,green_verified,"State aviation authority; search result confirms a live careers page",true,pending,Rwanda,SOE,https://www.caa.gov.rw
Water and Sanitation Corporation (WASAC),,https://www.wasac.rw/careers,grey_none_verified,State water/sanitation utility,false,pending,Rwanda,SOE,https://www.wasac.rw
Rwanda Energy Group (REG),,https://www.reg.rw/careers,grey_none_verified,State power utility,false,pending,Rwanda,SOE,https://www.reg.rw
Rwanda Utilities Regulatory Authority,,https://www.rura.rw/careers,grey_none_verified,Utilities regulator,false,pending,Rwanda,SOE,https://www.rura.rw
National Bank of Rwanda (BNR),,https://www.bnr.rw/careers,grey_none_verified,National central bank,false,pending,Rwanda,SOE,https://www.bnr.rw
Rwanda Social Security Board,,https://www.rssb.rw/careers,grey_none_verified,National pension/social security fund,false,pending,Rwanda,SOE,https://www.rssb.rw
Rwanda Development Board,,https://rdb.rw/careers,grey_none_verified,Investment/tourism promotion agency,false,pending,Rwanda,SOE,https://rdb.rw
Rwanda Housing Authority,,,grey_none_verified,State housing agency,false,pending,Rwanda,SOE,
National Institute of Statistics of Rwanda,,https://www.statistics.gov.rw/careers,grey_none_verified,National statistics office,false,pending,Rwanda,SOE,https://www.statistics.gov.rw
Bank of Kigali,,https://www.bk.rw/careers,amber_company_route,RSE-listed largest commercial bank,true,pending,Rwanda,PRIVATE,https://www.bk.rw
MTN Rwanda,,https://www.mtn.co.rw/careers,amber_company_route,RSE-listed telecom operator,true,pending,Rwanda,PRIVATE,https://www.mtn.co.rw
Bralirwa,,https://www.bralirwa.co.rw/careers,grey_none_verified,"RSE-listed brewer (Heineken-affiliated)",false,pending,Rwanda,PRIVATE,https://www.bralirwa.co.rw
I&M Bank Rwanda,,https://www.imbankrwanda.com/careers,grey_none_verified,Major commercial bank,false,pending,Rwanda,PRIVATE,https://www.imbankrwanda.com
Cimerwa,,https://www.cimerwa.rw/careers,grey_none_verified,"RSE-listed cement producer (PPC-affiliated)",false,pending,Rwanda,PRIVATE,https://www.cimerwa.rw
