Office of the Chief Minister,,https://ocmstatehouse.gov.sl/,grey_none_verified,National government office of the Chief Minister,false,no_url,Sierra Leone,DEPT,https://ocmstatehouse.gov.sl/
Ministry of Finance,,https://mof.gov.sl/,grey_none_verified,National government ministry - finance,false,no_url,Sierra Leone,DEPT,https://mof.gov.sl/
Ministry of Foreign Affairs and International Cooperation,,https://www.mfaic.gov.sl/,grey_none_verified,National government ministry - foreign affairs,false,no_url,Sierra Leone,DEPT,https://www.mfaic.gov.sl/
Office of the Attorney General and Ministry of Justice,,https://oagmoj.gov.sl/,grey_none_verified,National government ministry - justice,false,no_url,Sierra Leone,DEPT,https://oagmoj.gov.sl/
Ministry of Planning and Economic Development,,http://moped.gov.sl/,grey_none_verified,National government ministry - planning,false,no_url,Sierra Leone,DEPT,http://moped.gov.sl/
Ministry of Local Government and Community Affairs,,https://mlgca.gov.sl/,grey_none_verified,National government ministry - local government,false,no_url,Sierra Leone,DEPT,https://mlgca.gov.sl/
Ministry of Internal Affairs,,https://miasl.odoo.com/,grey_none_verified,National government ministry - internal affairs,false,no_url,Sierra Leone,DEPT,https://miasl.odoo.com/
Ministry of Health,,https://mohs.gov.sl/,grey_none_verified,National government ministry - health,false,no_url,Sierra Leone,DEPT,https://mohs.gov.sl/
Ministry of Agriculture and Food Security,,https://maf.gov.sl/,grey_none_verified,National government ministry - agriculture,false,no_url,Sierra Leone,DEPT,https://maf.gov.sl/
Ministry of Technical and Higher Education,,https://mthe.gov.sl/,grey_none_verified,National government ministry - higher education,false,no_url,Sierra Leone,DEPT,https://mthe.gov.sl/
Ministry of Basic and Senior Secondary Education,,https://mbsse.gov.sl/,grey_none_verified,National government ministry - basic education,false,no_url,Sierra Leone,DEPT,https://mbsse.gov.sl/
Ministry of Trade and Industry,,https://moti.gov.sl/,grey_none_verified,National government ministry - trade,false,no_url,Sierra Leone,DEPT,https://moti.gov.sl/
Ministry of Information and Civic Education,,https://moice.gov.sl/adverts/,green_verified,National government ministry - information,true,pending,Sierra Leone,DEPT,https://moice.gov.sl/
"Ministry of Communication, Technology and Innovation",,https://mocti.gov.sl/,grey_none_verified,National government ministry - tech innovation,false,no_url,Sierra Leone,DEPT,https://mocti.gov.sl/
Ministry of Mines and Mineral Resources,,https://mommr.gov.sl/,grey_none_verified,National government ministry - mining,false,no_url,Sierra Leone,DEPT,https://mommr.gov.sl/
"Ministry of Lands, Housing, and Country Planning",,https://molhcp.gov.sl/,grey_none_verified,National government ministry - lands,false,no_url,Sierra Leone,DEPT,https://molhcp.gov.sl/
Ministry of Transport and Aviation,,https://mota.gov.sl/,grey_none_verified,National government ministry - transport,false,no_url,Sierra Leone,DEPT,https://mota.gov.sl/
Ministry of Public Administration and Political Affairs,,https://moppa.gov.sl/,grey_none_verified,National government ministry - public admin,false,no_url,Sierra Leone,DEPT,https://moppa.gov.sl/
Ministry of Water Resources and Sanitation,,https://mwr.gov.sl/,grey_none_verified,National government ministry - water,false,no_url,Sierra Leone,DEPT,https://mwr.gov.sl/
Ministry of Gender and Children's Affairs,,https://mogca.gov.sl/,grey_none_verified,National government ministry - gender affairs,false,no_url,Sierra Leone,DEPT,https://mogca.gov.sl/
Ministry of Tourism and Cultural Affairs,,https://tourism.gov.sl/,grey_none_verified,National government ministry - tourism,false,no_url,Sierra Leone,DEPT,https://tourism.gov.sl/
Ministry of Works and Public Assets,,https://mwpa.gov.sl/,grey_none_verified,National government ministry - public works,false,no_url,Sierra Leone,DEPT,https://mwpa.gov.sl/
Ministry of the Environment and Climate Change,,https://moecc.gov.sl/,grey_none_verified,National government ministry - environment,false,no_url,Sierra Leone,DEPT,https://moecc.gov.sl/
"Ministry of Employment, Labour and Social Security",,http://www.labour.gov.sl/,grey_none_verified,National government ministry - labour,false,no_url,Sierra Leone,DEPT,http://www.labour.gov.sl/
Ministry of Social Welfare,,https://mosw.gov.sl/,grey_none_verified,National government ministry - social welfare,false,no_url,Sierra Leone,DEPT,https://mosw.gov.sl/
Ministry of Youth Affairs,,https://www.moya.gov.sl/,grey_none_verified,National government ministry - youth affairs,false,no_url,Sierra Leone,DEPT,https://www.moya.gov.sl/
Ministry of Sports,,https://mos.gov.sl/,grey_none_verified,National government ministry - sports,false,no_url,Sierra Leone,DEPT,https://mos.gov.sl/
Ministry of Fisheries and Marine Resources,,https://mfmr.gov.sl/,grey_none_verified,National government ministry - fisheries,false,no_url,Sierra Leone,DEPT,https://mfmr.gov.sl/
World Food Programme (WFP) Sierra Leone,,https://www.wfp.org/careers,green_verified,UN World Food Programme Sierra Leone office,true,pending,Sierra Leone,NGO,https://www.wfp.org/countries/sierra-leone
World Health Organization (WHO) Sierra Leone,,https://www.who.int/careers/apply-for-a-position,green_verified,UN World Health Organization Sierra Leone office,true,pending,Sierra Leone,NGO,https://www.afro.who.int/countries/sierra-leone
United Nations Development Programme (UNDP) Sierra Leone,,https://www.undp.org/sierra-leone/jobs,green_verified,UN Development Programme Sierra Leone office,true,pending,Sierra Leone,NGO,https://www.undp.org/sierra-leone
Plan International Sierra Leone,,https://jobs.plan-international.org/,green_verified,International NGO for child rights and development,true,pending,Sierra Leone,NGO,https://plan-international.org/sierra-leone/
Catholic Relief Services Sierra Leone,,https://www.crs.org/about-us/careers,green_verified,International Catholic relief and development NGO,true,pending,Sierra Leone,NGO,https://www.crs.org/our-work-overseas/where-we-work/sierra-leone
Ecobank Sierra Leone,,https://ecobank.com/group/about-us/careers,green_verified,Major regional commercial bank,true,pending,Sierra Leone,PRIVATE,https://www.ecobank.com/sl/personal-banking/countries
Zenith Bank Sierra Leone,,https://www.zenithbank.com.sl/,grey_none_verified,Commercial bank subsidiary of Nigerian parent,false,no_url,Sierra Leone,PRIVATE,https://www.zenithbank.com.sl/
Orange Sierra Leone,,https://orange.jobs/gb/en/africa-middle-east/sierra-leone,green_verified,Major mobile telecom operator,true,pending,Sierra Leone,PRIVATE,https://www.orange.sl/
Africell Sierra Leone,,https://www.africell.sl/careers/,green_verified,Major mobile telecom operator,true,pending,Sierra Leone,PRIVATE,https://www.africell.sl/
Sierra Rutile Limited,,https://sierra-rutile.com/,grey_none_verified,Major rutile and mineral sands mining company,false,no_url,Sierra Leone,PRIVATE,https://sierra-rutile.com/
Koidu Limited (Octea),,https://koidulimited.com/,grey_none_verified,Major diamond mining company,false,no_url,Sierra Leone,PRIVATE,https://koidulimited.com/
Sierra Leone Brewery Limited (Heineken),,https://slbrewery.com/,grey_none_verified,Major brewery part of Heineken group,false,no_url,Sierra Leone,PRIVATE,https://slbrewery.com/
Union Trust Bank Limited,,https://www.utb.sl/?page_id=408,green_verified,Commercial bank,true,pending,Sierra Leone,PRIVATE,https://www.utb.sl/
United Bank for Africa Sierra Leone,,https://www.ubagroup.com/countries/sl/,grey_none_verified,Commercial bank subsidiary of Nigerian parent,false,no_url,Sierra Leone,PRIVATE,https://www.ubagroup.com/countries/sl/
Sierra Leone Commercial Bank,,https://www.slcb.com/corp/,amber_company_route,State-owned largest commercial bank,true,pending,Sierra Leone,SOE,https://www.slcb.com/corp/
Rokel Commercial Bank,,https://rcb.rokelbank.sl/,amber_company_route,State-owned commercial bank,true,pending,Sierra Leone,SOE,https://rcb.rokelbank.sl/
Sierra Leone Ports Authority,,https://www.ncpsl.gov.sl/slpa/,grey_none_verified,State-owned ports and maritime authority,false,no_url,Sierra Leone,SOE,https://www.ncpsl.gov.sl/slpa/
Electricity Distribution and Supply Authority (EDSA),,https://www.edsa.sl/,grey_none_verified,State-owned electricity distribution utility,false,no_url,Sierra Leone,SOE,https://www.edsa.sl/
Sierratel,,https://www.sierratel.sl/,grey_none_verified,State-owned national telecommunications operator,false,no_url,Sierra Leone,SOE,https://www.sierratel.sl/
