Ministry of Finance Planning and Economic Development,,https://www.finance.go.ug,grey_none_verified,National government ministry,false,pending,Uganda,DEPT,https://www.finance.go.ug
Ministry of Foreign Affairs,,https://www.mofa.go.ug,grey_none_verified,National government ministry,false,pending,Uganda,DEPT,https://www.mofa.go.ug
Ministry of Defence and Veteran Affairs,,https://www.defence.go.ug,grey_none_verified,National government ministry,false,pending,Uganda,DEPT,https://www.defence.go.ug
Ministry of Internal Affairs,,https://mia.go.ug,grey_none_verified,National government ministry,false,pending,Uganda,DEPT,https://mia.go.ug
Ministry of Justice and Constitutional Affairs,,https://www.justice.go.ug,grey_none_verified,National government ministry,false,pending,Uganda,DEPT,https://www.justice.go.ug
Ministry of Health,,https://www.health.go.ug,grey_none_verified,National government ministry,false,pending,Uganda,DEPT,https://www.health.go.ug
Ministry of Education and Sports,,https://www.education.go.ug,grey_none_verified,National government ministry,false,pending,Uganda,DEPT,https://www.education.go.ug
Ministry of Agriculture Animal Industry and Fisheries,,https://www.agriculture.go.ug,grey_none_verified,National government ministry,false,pending,Uganda,DEPT,https://www.agriculture.go.ug
Ministry of Trade Industry and Cooperatives,,https://www.mtic.go.ug,grey_none_verified,National government ministry,false,pending,Uganda,DEPT,https://www.mtic.go.ug
Ministry of Tourism Wildlife and Antiquities,,https://www.tourism.go.ug,grey_none_verified,National government ministry,false,pending,Uganda,DEPT,https://www.tourism.go.ug
Ministry of Energy and Mineral Development,,https://www.energyandminerals.go.ug,grey_none_verified,National government ministry,false,pending,Uganda,DEPT,https://www.energyandminerals.go.ug
Ministry of Works and Transport,,https://www.works.go.ug,grey_none_verified,National government ministry,false,pending,Uganda,DEPT,https://www.works.go.ug
Ministry of ICT and National Guidance,,https://www.ict.go.ug,grey_none_verified,National government ministry,false,pending,Uganda,DEPT,https://www.ict.go.ug
Ministry of Lands Housing and Urban Development,,https://www.mlhud.go.ug,grey_none_verified,National government ministry,false,pending,Uganda,DEPT,https://www.mlhud.go.ug
Ministry of Water and Environment,,https://www.mwe.go.ug,grey_none_verified,National government ministry,false,pending,Uganda,DEPT,https://www.mwe.go.ug
Ministry of Gender Labour and Social Development,,https://www.mglsd.go.ug,grey_none_verified,National government ministry,false,pending,Uganda,DEPT,https://www.mglsd.go.ug
Ministry of Local Government,,https://www.molg.go.ug,grey_none_verified,National government ministry,false,pending,Uganda,DEPT,https://www.molg.go.ug
Ministry of Public Service,,https://www.publicservice.go.ug,grey_none_verified,National government ministry,false,pending,Uganda,DEPT,https://www.publicservice.go.ug
Kampala Capital City Authority,,https://www.kcca.go.ug/careers,amber_company_route,City government authority,true,pending,Uganda,MUNI,https://www.kcca.go.ug
Wakiso District Local Government,,,grey_none_verified,District government,false,pending,Uganda,MUNI,
Mbarara District Local Government,,,grey_none_verified,District government,false,pending,Uganda,MUNI,
Gulu District Local Government,,,grey_none_verified,District government,false,pending,Uganda,MUNI,
Jinja District Local Government,,,grey_none_verified,District government,false,pending,Uganda,MUNI,
Uganda Revenue Authority,,https://www.ura.go.ug/careers,amber_company_route,National tax authority,true,pending,Uganda,SOE,https://www.ura.go.ug
Uganda Electricity Distribution Company Limited (UEDCL),,https://www.uedcl.co.ug/job-openings/,green_verified,"State power distributor; search result confirms a live job-openings page",true,pending,Uganda,SOE,https://www.uedcl.co.ug
Uganda Airlines,,https://careers.ugandairlines.com/,green_verified,"National carrier (state-owned); search result confirms a dedicated careers site",true,pending,Uganda,SOE,https://careers.ugandairlines.com
Civil Aviation Authority (Uganda),,https://caa.go.ug/available-vacancies/,green_verified,"State aviation authority; search result confirms a live vacancies page",true,pending,Uganda,SOE,https://caa.go.ug
National Water and Sewerage Corporation,,https://www.nwsc.co.ug/careers,amber_company_route,State water and sewerage utility,true,pending,Uganda,SOE,https://www.nwsc.co.ug
Uganda National Roads Authority,,https://www.unra.go.ug/careers,grey_none_verified,State roads authority,false,pending,Uganda,SOE,https://www.unra.go.ug
